"Parent ID","Parent SKU","Product ID","Product SKU","Product Name","Slug","Permalink","Description","Excerpt","Product Published","Product Modified","Type","Visibility","Featured","Virtual","Downloadable","Price","Sale Price","Sale Price Dates From","Sale Price Dates To","Weight","Weight Unit","Height","Height Unit","Width","Width Unit","Length","Length Unit","Category","Tag","Featured Image","Product Gallery","Tax Status","Tax Class","File Download","Download Limit","Download Expiry","Download Type","Manage Stock","Quantity","Stock Status","Allow Backorders","Sold Individually","Up-Sells","Cross-Sells","Product URL","Button Text","Purchase Note","Product Status","Enable Reviews","Sort Order","Attribute: Color","Attribute: Size","Attribute: Uses ","WordPress SEO - Focus Keyword","WordPress SEO - Meta Description","WordPress SEO - SEO Title","WordPress SEO - Google+ Description","WordPress SEO - Facebook Description"
"2501","","10251","MKT1626N","Variation #10251 of Mission Kitchen Towel","product-2501-variation-2","http://acswordpress.azurewebsites.net/product_variation/product-2501-variation-2/","","","06/06/2014","06/06/2014","Variation","","No","No","No","4.00","","","","","","","","26","in","16","in","Kitchen Linens>Kitchen Towels|Natural","","",,"","","","","","Standard","No","","","No","No","","","","","","Publish","Open","1","natural-items","","","","","","",""
"2501","","10241","MKT1626W","Variation #10241 of Mission Kitchen Towel","product-2501-variation","http://acswordpress.azurewebsites.net/product_variation/product-2501-variation/","","","06/06/2014","06/06/2014","Variation","","No","No","No","4.00","","","","","","","","26","in","16","in","Kitchen Linens>Kitchen Towels|Natural","","",,"","","","","","Standard","No","","","No","No","","","","","","Publish","Open","0","white","","","","","","",""
"4161","","10111","DFST3236N","Variation #10111 of Deluxe Flour Sack Towel","product-4161-variation-4","http://acswordpress.azurewebsites.net/product_variation/product-4161-variation-4/","","","06/06/2014","06/06/2014","Variation","","No","No","No","3.00","","","","","","","","","","","","Flour Sack Linens>Flour Sack Towels|Natural>Natural Floursack","","",,"","","","","","Standard","No","","","No","No","","","","","","Publish","Open","3","natural-items","32x36-2","","","","","",""
"4161","","10101","DFST3030N","Variation #10101 of Deluxe Flour Sack Towel","product-4161-variation-3","http://acswordpress.azurewebsites.net/product_variation/product-4161-variation-3/","","","06/06/2014","06/06/2014","Variation","","No","No","No","2.33","","","","","","","","","","","","Flour Sack Linens>Flour Sack Towels|Natural>Natural Floursack","","",,"","","","","","Standard","No","","","No","No","","","","","","Publish","Open","2","natural-items","30x30-2","","","","","",""
"121","","9131","SFST3238","Variation #9131 of Standard Flour Sack Towel","product-121-variation-7","http://acswordpress.azurewebsites.net/product_variation/product-121-variation-7/","","","04/06/2014","04/06/2014","Variation","","No","No","No","2.56","","","","","",".001","in",".001","in",".001","in","Flour Sack Linens>Flour Sack Towels|Natural>Natural Floursack","","",,"","","","","","Standard","No","","","No","No","","","","","","Publish","Open","5","white","32x38-2","","","","","",""
"121","","9121","SFST3038W","Variation #9121 of Standard Flour Sack Towel","product-121-variation-6","http://acswordpress.azurewebsites.net/product_variation/product-121-variation-6/","","","04/06/2014","04/06/2014","Variation","","No","No","No","2.56","","","","","",".001","in",".001","in",".001","in","Flour Sack Linens>Flour Sack Towels|Natural>Natural Floursack","","",,"","","","","","Standard","No","","","No","No","","","","","","Publish","Open","4","white","30x38-2","","","","","",""
"121","","9111","SFST2829N","Variation #9111 of Standard Flour Sack Towel","product-121-variation-5","http://acswordpress.azurewebsites.net/product_variation/product-121-variation-5/","","","04/06/2014","04/06/2014","Variation","","No","No","No","2.0","","","","","",".001","in",".001","in",".001","in","Flour Sack Linens>Flour Sack Towels|Natural>Natural Floursack","","http://acswordpress.azurewebsites.net/wp-content/uploads/2014/05/natural-flour-sack-towel.png",,"","","","","","Standard","No","","","No","No","","","","","","Publish","Open","3","natural-items","28x29-2","","","","","",""
"3231","","9051","DHFTP1118BLK","Variation #9051 of Deluxe Hemmed Fingertip Towel","product-3231-variation-6","http://acswordpress.azurewebsites.net/product_variation/product-3231-variation-6/","","","04/06/2014","04/06/2014","Variation","","No","No","No","2.44","","","","0.17","lbs","","","18","in","11","in","Bathroom Linens>Hand Towels>Fingertip Towels","","http://acswordpress.azurewebsites.net/wp-content/uploads/2014/06/deluxe-hemmed-fingertip-towel-black.png",,"","","","","","Standard","No","","","No","No","","","","","","Publish","Open","5","black","","","","","","",""
"3231","","9041","DHFTP1118NB","Variation #9041 of Deluxe Hemmed Fingertip Towel","product-3231-variation-5","http://acswordpress.azurewebsites.net/product_variation/product-3231-variation-5/","","","04/06/2014","04/06/2014","Variation","","No","No","No","2.44","","","","0.17","lbs","","","18","in","11","in","Bathroom Linens>Hand Towels>Fingertip Towels","","http://acswordpress.azurewebsites.net/wp-content/uploads/2014/06/deluxe-hemmed-fingertip-towel-blue.png",,"","","","","","Standard","No","","","No","No","","","","","","Publish","Open","4","navy-blue","","","","","","",""
"3231","","9031","DHFTP1118RB","Variation #9031 of Deluxe Hemmed Fingertip Towel","product-3231-variation-4","http://acswordpress.azurewebsites.net/product_variation/product-3231-variation-4/","","","04/06/2014","04/06/2014","Variation","","No","No","No","2.44","","","","0.17","lbs","","","18","in","11","in","Bathroom Linens>Hand Towels>Fingertip Towels","","http://acswordpress.azurewebsites.net/wp-content/uploads/2014/06/deluxe-hemmed-fingertip-towel-blue.png",,"","","","","","Standard","No","","","No","No","","","","","","Publish","Open","3","royal-blue","","","","","","",""
